hypothesis,kind,label,entity,sector,counterparty,counterparty_sector,lag_q,pearson,spearman,p_value,n,sign_expected,significant
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,AMD,AI Chip,0,0.194,0.148,0.354,25,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,NVIDIA,AI Chip,0,0.624,0.63,0.0011,24,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Qualcomm,AI Chip,0,0.56,0.515,0.0029,26,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,AMD,AI Chip,3,-0.863,-0.907,0.0,17,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,NVIDIA,AI Chip,2,-0.509,-0.358,0.031,18,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Qualcomm,AI Chip,3,-0.693,-0.649,0.0014,18,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,AMD,AI Chip,3,-0.928,-0.87,0.0,19,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,NVIDIA,AI Chip,0,0.934,0.625,0.0,22,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Qualcomm,AI Chip,4,-0.702,-0.549,0.0008,19,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Intel,CPU,4,0.579,0.612,0.0187,16,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Intel,CPU,4,0.235,0.226,0.3479,18,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Intel,CPU,2,-0.638,-0.5,0.001,23,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,AMD,AI Chip,Micron Technology,DRAM,0,0.142,0.301,0.4971,25,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,NVIDIA,AI Chip,Micron Technology,DRAM,0,0.641,0.519,0.0007,24,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Micron Technology,DRAM,0,0.289,0.263,0.1617,25,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Micron Technology,DRAM,0,0.185,0.106,0.4229,21,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Micron Technology,DRAM,1,0.6,0.215,0.0031,22,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Seagate Technology,NAND,0,0.547,0.605,0.0039,26,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Western Digital,NAND,0,0.353,0.328,0.1651,17,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Seagate Technology,NAND,0,0.007,0.085,0.9752,22,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Western Digital,NAND,0,0.065,0.109,0.8115,16,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Seagate Technology,NAND,2,0.497,-0.093,0.0185,22,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Western Digital,NAND,4,-0.79,-0.745,0.0008,14,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,AMD,AI Chip,Seagate Technology,NAND,0,0.546,0.523,0.0047,25,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,AMD,AI Chip,Western Digital,NAND,1,0.932,0.915,0.0,16,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,NVIDIA,AI Chip,Seagate Technology,NAND,0,0.676,0.566,0.0002,25,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,NVIDIA,AI Chip,Western Digital,NAND,4,-0.929,-0.956,0.0,13,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Micron Technology,DRAM,Applied Materials,HW Equipment,1,0.473,0.443,0.0169,25,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Micron Technology,DRAM,FormFactor,HW Equipment,0,0.221,0.537,0.2892,25,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Micron Technology,DRAM,KLA,HW Equipment,4,0.605,0.51,0.0022,23,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Micron Technology,DRAM,Lam Research,HW Equipment,2,0.546,0.535,0.0047,25,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Micron Technology,DRAM,MKS Instruments,HW Equipment,4,0.073,0.14,0.7546,21,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Micron Technology,DRAM,Onto Innovation,HW Equipment,1,0.571,0.64,0.0036,24,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Intel,CPU,Applied Materials,HW Equipment,4,0.529,0.441,0.0114,22,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Intel,CPU,FormFactor,HW Equipment,2,0.35,0.48,0.1012,23,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Intel,CPU,KLA,HW Equipment,4,0.609,0.607,0.002,23,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Intel,CPU,Lam Research,HW Equipment,4,0.495,0.464,0.0162,23,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Intel,CPU,MKS Instruments,HW Equipment,4,0.216,0.475,0.3469,21,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Intel,CPU,Onto Innovation,HW Equipment,1,0.652,0.546,0.0006,24,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,AMD,AI Chip,Amkor Technology,OSAT/Packaging,0,0.833,0.865,0.0,25,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,NVIDIA,AI Chip,Amkor Technology,OSAT/Packaging,3,-0.663,-0.69,0.0014,20,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Intel,CPU,Amkor Technology,OSAT/Packaging,4,0.62,0.66,0.0027,21,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Applied Optoelectronics,Server Networking,4,0.176,0.347,0.446,21,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Arista Networks,Server Networking,1,0.187,0.193,0.3811,24,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Broadcom,Server Networking,0,0.589,0.516,0.008,19,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Coherent Corp,Server Networking,4,0.208,0.174,0.3406,23,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Cisco,Server Networking,2,0.611,0.621,0.0012,25,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Fabrinet,Server Networking,3,0.225,0.268,0.2894,24,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Lumentum,Server Networking,4,-0.522,-0.537,0.0106,23,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,MACOM Technology,Server Networking,0,0.059,0.078,0.7737,26,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Microsoft,Hyperscaler,Semtech,Server Networking,0,0.479,0.434,0.0243,22,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Applied Optoelectronics,Server Networking,1,-0.716,-0.663,0.0006,19,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Arista Networks,Server Networking,0,0.623,0.686,0.0033,20,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Broadcom,Server Networking,4,0.292,0.027,0.333,13,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Coherent Corp,Server Networking,4,0.086,-0.001,0.7332,18,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Cisco,Server Networking,1,0.649,0.675,0.0014,21,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Fabrinet,Server Networking,0,0.095,0.03,0.6739,22,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Lumentum,Server Networking,0,0.478,0.441,0.0245,22,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,MACOM Technology,Server Networking,2,-0.873,-0.886,0.0,19,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Dell Technologies,Server OEM,Semtech,Server Networking,0,0.495,0.465,0.0191,22,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Applied Optoelectronics,Server Networking,0,0.574,0.134,0.0052,22,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Arista Networks,Server Networking,2,0.442,0.395,0.051,20,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Broadcom,Server Networking,0,0.95,0.919,0.0,19,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Coherent Corp,Server Networking,0,-0.6,-0.664,0.0019,24,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Cisco,Server Networking,3,0.2,0.245,0.3854,21,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Fabrinet,Server Networking,1,0.537,0.578,0.0082,23,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Lumentum,Server Networking,3,0.252,0.016,0.2703,21,+,False
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,MACOM Technology,Server Networking,0,0.523,0.261,0.0104,23,+,True
P1,기업간,고객 매입(COGS) → 공급사 매출,Super Micro Computer,Server OEM,Semtech,Server Networking,0,0.254,0.567,0.2415,23,+,False
P2,기업내,매출 → 매출채권,NVIDIA,ai_chip,—,,0,0.951,0.692,0.0,25,+,True
P2,기업내,매출 → 매출채권,AMD,ai_chip,—,,2,0.117,0.465,0.5961,23,+,False
P2,기업내,매출 → 매출채권,Broadcom,server_networking,—,,0,0.952,0.925,0.0,19,+,True
P2,기업내,매출 → 매출채권,Marvell Technology,ai_chip,—,,0,0.938,0.624,0.0001,10,+,True
P2,기업내,매출 → 매출채권,Micron Technology,dram,—,,0,0.819,0.813,0.0,26,+,True
P2,기업내,매출 → 매출채권,Intel,cpu,—,,0,0.908,0.76,0.0,25,+,True
P2,기업내,매출 → 매출채권,Applied Materials,hw_equipment,—,,0,0.502,0.383,0.0089,26,+,True
P2,기업내,매출 → 매출채권,Lam Research,hw_equipment,—,,0,0.763,0.734,0.0,27,+,True
P2,기업내,매출 → 매출채권,Amkor Technology,osat_packaging,—,,0,0.754,0.791,0.0,25,+,True
P2,기업내,매출 → 매출채권,Dell Technologies,server_oem,—,,0,0.84,0.79,0.0,23,+,True
P2,기업내,매출 → 매출채권,Super Micro Computer,server_oem,—,,0,0.861,0.903,0.0,24,+,True
P2,기업내,매출 → 매출채권,Seagate Technology,nand,—,,0,0.955,0.899,0.0,27,+,True
P2,기업내,매출 → 매출채권,Western Digital,nand,—,,0,0.553,0.655,0.0173,18,+,True
P2,기업내,매출 → 매출채권,Arista Networks,server_networking,—,,0,0.493,0.507,0.0122,25,+,True
P2,기업내,매출 → 매출채권,Cisco,server_networking,—,,0,0.011,0.027,0.956,27,+,False
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,AMD,AI Chip,2,0.478,0.471,0.0209,23,+,True
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,NVIDIA,AI Chip,4,-0.522,-0.068,0.0152,21,+,False
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Qualcomm,AI Chip,4,0.563,0.601,0.0063,22,+,True
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,AMD,AI Chip,0,0.734,0.64,0.0,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,NVIDIA,AI Chip,1,0.006,0.412,0.9796,23,+,False
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Qualcomm,AI Chip,2,0.685,0.529,0.0002,24,+,True
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,AMD,AI Chip,0,0.362,0.387,0.0754,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,NVIDIA,AI Chip,0,0.566,0.684,0.004,24,+,True
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Qualcomm,AI Chip,1,0.624,0.794,0.0009,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,AMD,AI Chip,2,-0.504,-0.636,0.0141,23,+,False
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,NVIDIA,AI Chip,4,0.79,0.127,0.0,21,+,True
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Qualcomm,AI Chip,2,-0.224,-0.143,0.292,24,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,AMD,AI Chip,3,-0.514,-0.515,0.035,17,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,NVIDIA,AI Chip,2,-0.488,-0.598,0.0398,18,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Qualcomm,AI Chip,2,-0.445,-0.432,0.0564,19,+,False
P4,기업간,고객 매출 → 공급사 매출,Hewlett Packard Enterprise,Server OEM,AMD,AI Chip,0,0.076,0.008,0.7169,25,+,False
P4,기업간,고객 매출 → 공급사 매출,Hewlett Packard Enterprise,Server OEM,NVIDIA,AI Chip,0,0.524,0.697,0.0086,24,+,True
P4,기업간,고객 매출 → 공급사 매출,Hewlett Packard Enterprise,Server OEM,Qualcomm,AI Chip,0,0.391,0.437,0.048,26,+,True
P4,기업간,고객 매출 → 공급사 매출,Super Micro Computer,Server OEM,AMD,AI Chip,3,-0.891,-0.849,0.0,19,+,False
P4,기업간,고객 매출 → 공급사 매출,Super Micro Computer,Server OEM,NVIDIA,AI Chip,0,0.921,0.595,0.0,22,+,True
P4,기업간,고객 매출 → 공급사 매출,Super Micro Computer,Server OEM,Qualcomm,AI Chip,4,-0.681,-0.544,0.0013,19,+,False
P4,기업간,고객 매출 → 공급사 매출,Dell Technologies,Server OEM,Intel,CPU,4,0.734,0.868,0.0012,16,+,True
P4,기업간,고객 매출 → 공급사 매출,Hewlett Packard Enterprise,Server OEM,Intel,CPU,3,-0.546,-0.613,0.0086,22,+,False
P4,기업간,고객 매출 → 공급사 매출,Super Micro Computer,Server OEM,Intel,CPU,4,0.247,0.23,0.323,18,+,False
P4,기업간,고객 매출 → 공급사 매출,Amazon,Hyperscaler,Intel,CPU,0,0.872,0.816,0.0,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Google,Hyperscaler,Intel,CPU,0,0.417,0.358,0.0381,25,+,True
P4,기업간,고객 매출 → 공급사 매출,Microsoft,Hyperscaler,Intel,CPU,3,-0.631,-0.662,0.0017,22,+,False
P4,기업간,고객 매출 → 공급사 매출,Oracle,Hyperscaler,Intel,CPU,0,-0.72,-0.61,0.0,25,+,False
P4,기업간,고객 매출 → 공급사 매출,AMD,AI Chip,Micron Technology,DRAM,0,0.304,0.515,0.1392,25,+,False
P4,기업간,고객 매출 → 공급사 매출,NVIDIA,AI Chip,Micron Technology,DRAM,0,0.654,0.669,0.0005,24,+,True
P4,기업간,고객 매출 → 공급사 매출,Qualcomm,AI Chip,Micron Technology,DRAM,0,0.084,0.148,0.689,25,+,False
