customer,supplier,channel,x_var,y_var,status,lag_q,pearson,spearman,p_value,n,significant
Hyperscaler,AI Chip,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.626,0.12,0.0001,33.0,True
Hyperscaler,AI Chip,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.739,0.196,0.0,30.0,True
Hyperscaler,AI Chip,지급→회수,DPO,DSO,ok,0.0,0.537,0.544,0.0015,32.0,True
Hyperscaler,AI Chip,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,ok,0.0,0.593,0.62,0.0003,33.0,True
Hyperscaler,AI Chip,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.197,-0.014,0.2799,32.0,False
Hyperscaler,AI Chip,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.443,0.216,0.016,29.0,True
Hyperscaler,AI Chip,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.698,0.464,0.0,32.0,True
Hyperscaler,AI Chip,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],ok,0.0,0.8,0.404,0.0,29.0,True
Hyperscaler,AI Chip,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.165,0.339,0.3681,32.0,False
Hyperscaler,AI Chip,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.076,0.278,0.6945,29.0,False
Hyperscaler,AI Chip,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,ok,3.0,0.121,0.091,0.5154,31.0,False
Hyperscaler,AI Chip,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.632,0.202,0.0001,33.0,True
Hyperscaler,AI Chip,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.487,0.176,0.0064,30.0,True
Server OEM,AI Chip,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.721,0.358,0.0,34.0,True
Server OEM,AI Chip,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.77,0.283,0.0,31.0,True
Server OEM,AI Chip,지급→회수,DPO,DSO,ok,4.0,0.004,0.064,0.9842,30.0,False
Server OEM,AI Chip,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,ok,4.0,0.169,0.271,0.3622,31.0,False
Server OEM,AI Chip,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.643,0.013,0.0,34.0,True
Server OEM,AI Chip,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.809,0.32,0.0,30.0,True
Server OEM,AI Chip,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
Server OEM,AI Chip,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],ok,0.0,0.473,0.357,0.2364,8.0,False
Server OEM,AI Chip,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.475,0.281,0.0046,34.0,True
Server OEM,AI Chip,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.733,0.359,0.0,31.0,True
Server OEM,AI Chip,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,ok,0.0,0.508,0.469,0.0916,12.0,False
Server OEM,AI Chip,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.653,0.077,0.0,34.0,True
Server OEM,AI Chip,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.822,0.434,0.0,31.0,True
Server OEM,CPU,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.491,0.342,0.0037,33.0,True
Server OEM,CPU,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,3.0,-0.456,-0.503,0.0221,25.0,False
Server OEM,CPU,지급→회수,DPO,DSO,ok,1.0,-0.645,-0.421,0.0001,32.0,False
Server OEM,CPU,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,ok,1.0,-0.494,-0.324,0.0034,33.0,False
Server OEM,CPU,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,3.0,0.212,0.131,0.2598,30.0,False
Server OEM,CPU,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,4.0,0.295,0.369,0.1712,23.0,False
Server OEM,CPU,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
Server OEM,CPU,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],ok,4.0,0.399,0.314,0.4338,6.0,False
Server OEM,CPU,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.469,0.251,0.0059,33.0,True
Server OEM,CPU,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,3.0,-0.438,-0.471,0.0283,25.0,False
Server OEM,CPU,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,ok,0.0,0.48,0.455,0.1351,11.0,False
Server OEM,CPU,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,3.0,0.27,0.196,0.1497,30.0,False
Server OEM,CPU,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,2.0,-0.284,-0.261,0.1596,26.0,False
Hyperscaler,CPU,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.393,0.123,0.0235,33.0,True
Hyperscaler,CPU,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,2.0,0.172,0.162,0.4,26.0,False
Hyperscaler,CPU,지급→회수,DPO,DSO,ok,1.0,0.673,0.519,0.0,32.0,True
Hyperscaler,CPU,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,ok,3.0,0.575,0.527,0.0007,31.0,True
Hyperscaler,CPU,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,4.0,0.207,0.268,0.282,29.0,False
Hyperscaler,CPU,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,4.0,0.134,0.163,0.5336,24.0,False
Hyperscaler,CPU,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.516,0.337,0.0025,32.0,True
Hyperscaler,CPU,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],ok,2.0,0.155,0.039,0.4493,26.0,False
Hyperscaler,CPU,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,4.0,0.041,0.205,0.8319,29.0,False
Hyperscaler,CPU,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.049,0.004,0.806,28.0,False
Hyperscaler,CPU,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,ok,2.0,0.229,0.348,0.2153,31.0,False
Hyperscaler,CPU,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.28,-0.099,0.1148,33.0,False
Hyperscaler,CPU,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,1.0,0.252,0.19,0.2052,27.0,False
AI Chip,DRAM,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.486,0.359,0.0048,32.0,True
AI Chip,DRAM,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.614,0.633,0.0004,29.0,True
AI Chip,DRAM,지급→회수,DPO,DSO,ok,0.0,0.153,0.059,0.4026,32.0,False
AI Chip,DRAM,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,ok,0.0,0.234,0.193,0.1908,33.0,False
AI Chip,DRAM,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.507,0.161,0.003,32.0,True
AI Chip,DRAM,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.545,0.405,0.0022,29.0,True
AI Chip,DRAM,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
AI Chip,DRAM,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],ok,4.0,0.26,0.029,0.6186,6.0,False
AI Chip,DRAM,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.304,0.076,0.0905,32.0,False
AI Chip,DRAM,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.028,-0.111,0.8868,29.0,False
AI Chip,DRAM,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,ok,3.0,0.348,0.267,0.3589,9.0,False
AI Chip,DRAM,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.586,0.275,0.0004,32.0,True
AI Chip,DRAM,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.717,0.515,0.0,29.0,True
Hyperscaler,DRAM,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.739,0.442,0.0,32.0,True
Hyperscaler,DRAM,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.709,0.434,0.0,29.0,True
Hyperscaler,DRAM,지급→회수,DPO,DSO,ok,0.0,0.558,0.413,0.0011,31.0,True
Hyperscaler,DRAM,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,ok,0.0,0.449,0.407,0.0099,32.0,True
Hyperscaler,DRAM,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.251,0.102,0.1737,31.0,False
Hyperscaler,DRAM,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.325,0.147,0.0913,28.0,False
Hyperscaler,DRAM,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.744,0.389,0.0,31.0,True
Hyperscaler,DRAM,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],ok,0.0,0.746,0.589,0.0,28.0,True
Hyperscaler,DRAM,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.233,0.237,0.2066,31.0,False
Hyperscaler,DRAM,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.316,0.364,0.1019,28.0,False
Hyperscaler,DRAM,현금여력,FCF_MARGIN,REVENUE_GROWTH_QOQ,ok,3.0,0.33,0.357,0.0803,29.0,False
Hyperscaler,DRAM,수요(QoQ),REVENUE_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.642,0.22,0.0001,32.0,True
Hyperscaler,DRAM,수요(YoY),REVENUE_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.608,0.403,0.0005,29.0,True
Server OEM,DRAM,결제(QoQ),AP_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.758,0.467,0.0,32.0,True
Server OEM,DRAM,결제(YoY),AP_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.716,0.537,0.0,29.0,True
Server OEM,DRAM,지급→회수,DPO,DSO,ok,4.0,-0.572,-0.321,0.0015,28.0,False
Server OEM,DRAM,미지급→미수,AP_TO_COGS,AR_TO_REVENUE,ok,0.0,0.424,0.427,0.0138,33.0,True
Server OEM,DRAM,구매(QoQ),COGS_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.659,0.275,0.0,32.0,True
Server OEM,DRAM,구매(YoY),COGS_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.683,0.328,0.0001,28.0,True
Server OEM,DRAM,투자(QoQ),CAPEX_GROWTH_QOQ,REVENUE_GROWTH_QOQ,insufficient data,,,,,,
Server OEM,DRAM,투자(YoY),CAPEX[growth_yoy],REVENUE[growth_yoy],ok,0.0,0.372,0.024,0.3639,8.0,False
Server OEM,DRAM,재고(QoQ),INVENTORY_GROWTH_QOQ,REVENUE_GROWTH_QOQ,ok,0.0,0.664,0.604,0.0,32.0,True
Server OEM,DRAM,재고(YoY),INVENTORY_GROWTH_YOY,REVENUE_GROWTH_YOY,ok,0.0,0.821,0.643,0.0,29.0,True
