channel,x,y,universality,edges_ok,edges_analyzable,total_sig_pairs,total_pairs,mean_corr,mean_lag
수요 매출→매출 [rolling_yoy],REVENUE[rolling_yoy],REVENUE[rolling_yoy],1.0,15,15,96,137,0.625,2.26
결제 AP→매출 [qoq],AP[growth_qoq],REVENUE[growth_qoq],1.0,15,15,91,147,0.577,1.39
결제 AP→매출 [rolling_yoy],AP[rolling_yoy],REVENUE[rolling_yoy],1.0,15,15,89,137,0.66,1.98
재고→매출 [rolling_yoy],INVENTORY[rolling_yoy],REVENUE[rolling_yoy],1.0,15,15,87,120,0.672,1.98
수요 매출→매출 [yoy],REVENUE[growth_yoy],REVENUE[growth_yoy],1.0,15,15,76,144,0.532,1.74
재고→매출 [yoy],INVENTORY[growth_yoy],REVENUE[growth_yoy],1.0,15,15,69,123,0.577,2.06
재고→매출 [qoq],INVENTORY[growth_qoq],REVENUE[growth_qoq],1.0,15,15,64,130,0.492,1.51
구매 COGS→매출 [rolling_yoy],COGS[rolling_yoy],REVENUE[rolling_yoy],1.0,13,13,51,69,0.652,2.43
미지급→미수,AP_TO_COGS[level],AR_TO_REVENUE[level],1.0,13,13,32,70,0.517,1.34
투자 capex→매출 [rolling_yoy],CAPEX[rolling_yoy],REVENUE[rolling_yoy],1.0,5,5,28,46,0.671,1.42
투자 capex→매출 [yoy],CAPEX[growth_yoy],REVENUE[growth_yoy],1.0,5,5,23,49,0.627,0.92
결제 AP→매출 [yoy],AP[growth_yoy],REVENUE[growth_yoy],0.933,14,15,80,144,0.584,1.58
구매 COGS→매출 [yoy],COGS[growth_yoy],REVENUE[growth_yoy],0.923,12,13,38,71,0.548,1.48
수요 매출→매출 [qoq],REVENUE[growth_qoq],REVENUE[growth_qoq],0.867,13,15,104,147,0.538,0.68
지급→회수 DPO→DSO,DPO[level],DSO[level],0.846,11,13,35,70,0.533,1.36
투자 capex→매출 [qoq],CAPEX[growth_qoq],REVENUE[growth_qoq],0.8,4,5,32,50,0.6,0.45
현금여력→매출,FCF_MARGIN[level],REVENUE[growth_yoy],0.8,4,5,8,34,0.583,1.65
구매 COGS→매출 [qoq],COGS[growth_qoq],REVENUE[growth_qoq],0.692,9,13,43,76,0.582,0.97
